epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
95,0.5085,0.517,0.7411232140331023,0.7409,MLP520-Tanh-Adagrad-0.01-0
96,0.509,0.517,0.738718347715377,0.7378,MLP520-Tanh-Adagrad-0.01-0
97,0.5082,0.5173,0.7402744376856698,0.7401,MLP520-Tanh-Adagrad-0.01-0
98,0.5082,0.5168,0.7404159004102419,0.74,MLP520-Tanh-Adagrad-0.01-0
99,0.5081,0.5188,0.7354647050502192,0.7337,MLP520-Tanh-Adagrad-0.01-0
100,0.5079,0.5168,0.7409817513085302,0.7407,MLP520-Tanh-Adagrad-0.01-0
1,0.5792,0.5537,0.7272598670250389,0.7233,MLP520-Tanh-Adagrad-0.01-0
2,0.5554,0.5399,0.7344744659782148,0.7335,MLP520-Tanh-Adagrad-0.01-0
3,0.5529,0.5374,0.7334842269062102,0.7321,MLP520-Tanh-Adagrad-0.01-0
4,0.5469,0.5359,0.7341915405290705,0.7327,MLP520-Tanh-Adagrad-0.01-0
5,0.5487,0.539,0.731220823313057,0.7286,MLP520-Tanh-Adagrad-0.01-0
6,0.5458,0.5345,0.7350403168765031,0.7332,MLP520-Tanh-Adagrad-0.01-0
7,0.5431,0.5317,0.7346159287027868,0.7344,MLP520-Tanh-Adagrad-0.01-0
8,0.5432,0.5346,0.7339086150799264,0.7339,MLP520-Tanh-Adagrad-0.01-0
9,0.544,0.5315,0.7360305559485075,0.7357,MLP520-Tanh-Adagrad-0.01-0
10,0.5449,0.5312,0.7391427358890932,0.7385,MLP520-Tanh-Adagrad-0.01-0
11,0.5418,0.5308,0.7374451831942284,0.7361,MLP520-Tanh-Adagrad-0.01-0
12,0.5444,0.5312,0.7391427358890932,0.7378,MLP520-Tanh-Adagrad-0.01-0
13,0.5445,0.5306,0.7374451831942284,0.7363,MLP520-Tanh-Adagrad-0.01-0
14,0.5415,0.5309,0.7385768849908049,0.7371,MLP520-Tanh-Adagrad-0.01-0
15,0.5413,0.5306,0.7380110340925167,0.7365,MLP520-Tanh-Adagrad-0.01-0
16,0.5444,0.5286,0.7391427358890932,0.7386,MLP520-Tanh-Adagrad-0.01-0
17,0.5363,0.529,0.7391427358890932,0.7379,MLP520-Tanh-Adagrad-0.01-0
18,0.5417,0.5294,0.7390012731645211,0.7376,MLP520-Tanh-Adagrad-0.01-0
19,0.5434,0.5289,0.7382939595416608,0.7381,MLP520-Tanh-Adagrad-0.01-0
20,0.5409,0.5289,0.7384354222662328,0.7383,MLP520-Tanh-Adagrad-0.01-0
21,0.5376,0.5278,0.7397085867873815,0.7388,MLP520-Tanh-Adagrad-0.01-0
22,0.5439,0.528,0.7397085867873815,0.7388,MLP520-Tanh-Adagrad-0.01-0
23,0.5368,0.5297,0.7384354222662328,0.7366,MLP520-Tanh-Adagrad-0.01-0
24,0.5382,0.5362,0.7337671523553544,0.7299,MLP520-Tanh-Adagrad-0.01-0
25,0.5414,0.5273,0.7377281086433725,0.7366,MLP520-Tanh-Adagrad-0.01-0
26,0.5433,0.5266,0.7398500495119535,0.7391,MLP520-Tanh-Adagrad-0.01-0
27,0.5409,0.527,0.7408402885839581,0.7402,MLP520-Tanh-Adagrad-0.01-0
28,0.5408,0.527,0.7385768849908049,0.7375,MLP520-Tanh-Adagrad-0.01-0
29,0.5398,0.5262,0.7392841986136653,0.7389,MLP520-Tanh-Adagrad-0.01-0
30,0.5375,0.5265,0.7388598104399491,0.7377,MLP520-Tanh-Adagrad-0.01-0
31,0.5404,0.5265,0.7381524968170887,0.7371,MLP520-Tanh-Adagrad-0.01-0
32,0.5402,0.5271,0.7380110340925167,0.738,MLP520-Tanh-Adagrad-0.01-0
33,0.5406,0.5258,0.7384354222662328,0.7376,MLP520-Tanh-Adagrad-0.01-0
34,0.5425,0.526,0.7395671240628094,0.7393,MLP520-Tanh-Adagrad-0.01-0
35,0.544,0.5265,0.7404159004102419,0.74,MLP520-Tanh-Adagrad-0.01-0
36,0.5417,0.5265,0.7384354222662328,0.7373,MLP520-Tanh-Adagrad-0.01-0
37,0.5365,0.5257,0.7402744376856698,0.7397,MLP520-Tanh-Adagrad-0.01-0
38,0.5389,0.5267,0.7390012731645211,0.7377,MLP520-Tanh-Adagrad-0.01-0
39,0.5424,0.5261,0.7399915122365257,0.7395,MLP520-Tanh-Adagrad-0.01-0
40,0.5389,0.5261,0.7390012731645211,0.7379,MLP520-Tanh-Adagrad-0.01-0
41,0.5371,0.5284,0.7385768849908049,0.7365,MLP520-Tanh-Adagrad-0.01-0
42,0.5404,0.5265,0.7394256613382374,0.738,MLP520-Tanh-Adagrad-0.01-0
43,0.5387,0.5258,0.7404159004102419,0.7396,MLP520-Tanh-Adagrad-0.01-0
44,0.5409,0.5253,0.7408402885839581,0.7401,MLP520-Tanh-Adagrad-0.01-0
45,0.5386,0.5253,0.7401329749610978,0.7397,MLP520-Tanh-Adagrad-0.01-0
46,0.5426,0.5292,0.7373037204696562,0.735,MLP520-Tanh-Adagrad-0.01-0
47,0.5429,0.5253,0.7414061394822464,0.7409,MLP520-Tanh-Adagrad-0.01-0
48,0.5398,0.5251,0.7412646767576744,0.7406,MLP520-Tanh-Adagrad-0.01-0
49,0.5429,0.5259,0.7391427358890932,0.7382,MLP520-Tanh-Adagrad-0.01-0
50,0.5365,0.5251,0.7406988258593861,0.7402,MLP520-Tanh-Adagrad-0.01-0
51,0.5401,0.5252,0.7397085867873815,0.7389,MLP520-Tanh-Adagrad-0.01-0
52,0.5401,0.5265,0.7394256613382374,0.7379,MLP520-Tanh-Adagrad-0.01-0
53,0.5392,0.5261,0.7398500495119535,0.7386,MLP520-Tanh-Adagrad-0.01-0
54,0.5389,0.5252,0.7401329749610978,0.7392,MLP520-Tanh-Adagrad-0.01-0
55,0.5403,0.5273,0.7394256613382374,0.7376,MLP520-Tanh-Adagrad-0.01-0
56,0.5357,0.5268,0.7395671240628094,0.7378,MLP520-Tanh-Adagrad-0.01-0
57,0.5388,0.5253,0.7399915122365257,0.7389,MLP520-Tanh-Adagrad-0.01-0
58,0.5398,0.5248,0.7404159004102419,0.7398,MLP520-Tanh-Adagrad-0.01-0
59,0.5378,0.5248,0.7401329749610978,0.7395,MLP520-Tanh-Adagrad-0.01-0
60,0.5392,0.5249,0.7404159004102419,0.7394,MLP520-Tanh-Adagrad-0.01-0
61,0.5365,0.5244,0.7402744376856698,0.7394,MLP520-Tanh-Adagrad-0.01-0
62,0.5351,0.5244,0.7412646767576744,0.7407,MLP520-Tanh-Adagrad-0.01-0
63,0.5378,0.5243,0.7406988258593861,0.74,MLP520-Tanh-Adagrad-0.01-0
64,0.5389,0.5253,0.7401329749610978,0.7388,MLP520-Tanh-Adagrad-0.01-0
65,0.5406,0.5253,0.7402744376856698,0.7391,MLP520-Tanh-Adagrad-0.01-0
66,0.5335,0.5243,0.7409817513085302,0.7401,MLP520-Tanh-Adagrad-0.01-0
67,0.5401,0.5242,0.7402744376856698,0.7396,MLP520-Tanh-Adagrad-0.01-0
68,0.5366,0.5246,0.7406988258593861,0.7395,MLP520-Tanh-Adagrad-0.01-0
69,0.5408,0.5273,0.7391427358890932,0.737,MLP520-Tanh-Adagrad-0.01-0
70,0.5388,0.5249,0.7408402885839581,0.7398,MLP520-Tanh-Adagrad-0.01-0
71,0.5348,0.5246,0.7399915122365257,0.7389,MLP520-Tanh-Adagrad-0.01-0
72,0.542,0.5244,0.7397085867873815,0.7394,MLP520-Tanh-Adagrad-0.01-0
73,0.5417,0.5246,0.7401329749610978,0.7394,MLP520-Tanh-Adagrad-0.01-0
74,0.5382,0.5239,0.7398500495119535,0.7393,MLP520-Tanh-Adagrad-0.01-0
75,0.538,0.5241,0.7392841986136653,0.7389,MLP520-Tanh-Adagrad-0.01-0
76,0.5424,0.5243,0.7398500495119535,0.7392,MLP520-Tanh-Adagrad-0.01-0
77,0.5371,0.5243,0.7408402885839581,0.7399,MLP520-Tanh-Adagrad-0.01-0
78,0.5437,0.5252,0.7399915122365257,0.7385,MLP520-Tanh-Adagrad-0.01-0
79,0.5393,0.5244,0.7409817513085302,0.7401,MLP520-Tanh-Adagrad-0.01-0
80,0.5419,0.5249,0.7414061394822464,0.7401,MLP520-Tanh-Adagrad-0.01-0
81,0.5369,0.524,0.7408402885839581,0.74,MLP520-Tanh-Adagrad-0.01-0
82,0.5387,0.5243,0.740557363134814,0.74,MLP520-Tanh-Adagrad-0.01-0
83,0.5395,0.5245,0.7402744376856698,0.7391,MLP520-Tanh-Adagrad-0.01-0
84,0.5411,0.5259,0.7395671240628094,0.7379,MLP520-Tanh-Adagrad-0.01-0
85,0.5388,0.5241,0.7404159004102419,0.7401,MLP520-Tanh-Adagrad-0.01-0
86,0.5376,0.5242,0.7399915122365257,0.7389,MLP520-Tanh-Adagrad-0.01-0
87,0.5374,0.5236,0.7404159004102419,0.7397,MLP520-Tanh-Adagrad-0.01-0
88,0.5357,0.5237,0.7402744376856698,0.7394,MLP520-Tanh-Adagrad-0.01-0
89,0.5403,0.5242,0.7399915122365257,0.7392,MLP520-Tanh-Adagrad-0.01-0
90,0.538,0.5243,0.7409817513085302,0.74,MLP520-Tanh-Adagrad-0.01-0
91,0.5395,0.5244,0.7408402885839581,0.7398,MLP520-Tanh-Adagrad-0.01-0
92,0.538,0.5248,0.7404159004102419,0.739,MLP520-Tanh-Adagrad-0.01-0
93,0.5413,0.524,0.7401329749610978,0.7393,MLP520-Tanh-Adagrad-0.01-0
94,0.5395,0.5244,0.7406988258593861,0.7396,MLP520-Tanh-Adagrad-0.01-0
95,0.5346,0.5237,0.7406988258593861,0.74,MLP520-Tanh-Adagrad-0.01-0
96,0.5361,0.5235,0.7404159004102419,0.7397,MLP520-Tanh-Adagrad-0.01-0
97,0.5371,0.5237,0.7399915122365257,0.7389,MLP520-Tanh-Adagrad-0.01-0
98,0.5369,0.5233,0.740557363134814,0.7401,MLP520-Tanh-Adagrad-0.01-0
99,0.5338,0.5232,0.7418305276559627,0.7413,MLP520-Tanh-Adagrad-0.01-0
100,0.5374,0.5234,0.7409817513085302,0.7402,MLP520-Tanh-Adagrad-0.01-0
1,0.5968,0.5503,0.7281086433724714,0.7272,MLP520-Tanh-Adagrad-0.01-0
2,0.5703,0.5463,0.7296647333427642,0.7286,MLP520-Tanh-Adagrad-0.01-0
3,0.5678,0.5428,0.7299476587919084,0.7296,MLP520-Tanh-Adagrad-0.01-0
4,0.5668,0.5447,0.7303720469656245,0.7288,MLP520-Tanh-Adagrad-0.01-0
5,0.5615,0.5408,0.7309378978639128,0.7309,MLP520-Tanh-Adagrad-0.01-0
6,0.5603,0.5416,0.7326354505587778,0.7311,MLP520-Tanh-Adagrad-0.01-0
7,0.5594,0.5397,0.7317866742113454,0.7317,MLP520-Tanh-Adagrad-0.01-0
8,0.5563,0.5373,0.734898854151931,0.7344,MLP520-Tanh-Adagrad-0.01-0
