epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
71,0.5098,0.5169,0.5083,0.7527581329561528,0.7518,0.7431036921771114,0.7425,0.7498099128251375,0.7493,MLP520-Tanh-Adagrad-0.01-0
72,0.5107,0.5167,0.5083,0.7517680339462518,0.751,0.7422549158296788,0.7417,0.7500574682156561,0.7496,MLP520-Tanh-Adagrad-0.01-0
73,0.5097,0.5169,0.5083,0.7527581329561528,0.7518,0.7435280803508275,0.7428,0.7500574682156561,0.7495,MLP520-Tanh-Adagrad-0.01-0
74,0.5083,0.5169,0.5083,0.7516265912305516,0.7509,0.7429622294525392,0.7425,0.7500574682156561,0.7497,MLP520-Tanh-Adagrad-0.01-0
75,0.5102,0.5171,0.5086,0.750919377652051,0.7504,0.7415476022068185,0.7412,0.7504288013014341,0.7502,MLP520-Tanh-Adagrad-0.01-0
76,0.5102,0.5169,0.5084,0.7516265912305516,0.751,0.7428207667279672,0.7424,0.7501105157993386,0.7498,MLP520-Tanh-Adagrad-0.01-0
77,0.5099,0.5179,0.5098,0.7521923620933522,0.752,0.7394256613382374,0.7393,0.7494562622672537,0.7494,MLP520-Tanh-Adagrad-0.01-0
78,0.5105,0.5184,0.5093,0.751909476661952,0.7499,0.7404159004102419,0.7389,0.7501105157993386,0.7489,MLP520-Tanh-Adagrad-0.01-0
79,0.5092,0.5168,0.5085,0.7506364922206507,0.7501,0.7412646767576744,0.7409,0.7504288013014341,0.7502,MLP520-Tanh-Adagrad-0.01-0
80,0.5103,0.5167,0.5082,0.752050919377652,0.7512,0.7426793040033951,0.7421,0.7500221031598677,0.7496,MLP520-Tanh-Adagrad-0.01-0
81,0.5106,0.5176,0.5095,0.7517680339462518,0.7515,0.7402744376856698,0.7401,0.7495093098509363,0.7494,MLP520-Tanh-Adagrad-0.01-0
82,0.5105,0.5184,0.5094,0.7506364922206507,0.7486,0.7401329749610978,0.7385,0.7502166109667038,0.749,MLP520-Tanh-Adagrad-0.01-0
83,0.5092,0.5169,0.5085,0.752899575671853,0.7524,0.7418305276559627,0.7415,0.7501105157993386,0.7498,MLP520-Tanh-Adagrad-0.01-0
