epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
61,0.4969,0.5094,0.7464987975668411,0.7431,SmallMLP-Tanh-Adagrad-0.1-0
62,0.4995,0.507,0.7477719620879898,0.7461,SmallMLP-Tanh-Adagrad-0.1-0
63,0.4965,0.5078,0.7503182911302871,0.7477,SmallMLP-Tanh-Adagrad-0.1-0
64,0.4973,0.5082,0.7464987975668411,0.7435,SmallMLP-Tanh-Adagrad-0.1-0
65,0.497,0.5071,0.7487622011599944,0.7467,SmallMLP-Tanh-Adagrad-0.1-0
66,0.497,0.5164,0.7412646767576744,0.7413,SmallMLP-Tanh-Adagrad-0.1-0
67,0.4967,0.511,0.7453670957702645,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
68,0.4979,0.5085,0.7440939312491158,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
69,0.4965,0.5086,0.7466402602914132,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
70,0.4976,0.5071,0.7459329466685528,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
71,0.4968,0.5093,0.7467817230159853,0.7433,SmallMLP-Tanh-Adagrad-0.1-0
72,0.4966,0.5115,0.7470646484651294,0.7432,SmallMLP-Tanh-Adagrad-0.1-0
73,0.4967,0.5068,0.7477719620879898,0.7461,SmallMLP-Tanh-Adagrad-0.1-0
74,0.4955,0.516,0.7432451549016834,0.7432,SmallMLP-Tanh-Adagrad-0.1-0
75,0.4964,0.5069,0.7466402602914132,0.7453,SmallMLP-Tanh-Adagrad-0.1-0
76,0.4969,0.5116,0.7446597821474041,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
77,0.4953,0.5075,0.7484792757108502,0.7468,SmallMLP-Tanh-Adagrad-0.1-0
78,0.4972,0.5075,0.7445183194228321,0.7436,SmallMLP-Tanh-Adagrad-0.1-0
79,0.496,0.5073,0.7459329466685528,0.7446,SmallMLP-Tanh-Adagrad-0.1-0
80,0.4966,0.507,0.744235393973688,0.743,SmallMLP-Tanh-Adagrad-0.1-0
81,0.4963,0.5072,0.7440939312491158,0.7431,SmallMLP-Tanh-Adagrad-0.1-0
82,0.4964,0.5092,0.7459329466685528,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
83,0.4967,0.5071,0.7463573348422691,0.745,SmallMLP-Tanh-Adagrad-0.1-0
84,0.4964,0.5072,0.7479134248125618,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
85,0.4978,0.5115,0.7476304993634177,0.7434,SmallMLP-Tanh-Adagrad-0.1-0
86,0.4958,0.5074,0.7491865893337105,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
87,0.4963,0.5075,0.7452256330456924,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
88,0.4963,0.5094,0.7477719620879898,0.7446,SmallMLP-Tanh-Adagrad-0.1-0
89,0.4951,0.5081,0.7463573348422691,0.7456,SmallMLP-Tanh-Adagrad-0.1-0
