epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
54,0.5069,0.5006,0.7616353090960531,0.7607,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
55,0.5082,0.5018,0.7595133682274721,0.7592,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
56,0.509,0.5009,0.7629084736172018,0.7621,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
57,0.5083,0.5064,0.7535719337954448,0.7536,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
58,0.5077,0.5022,0.7590889800537558,0.7589,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
59,0.5082,0.5017,0.7595133682274721,0.7592,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
60,0.5075,0.5009,0.7614938463714811,0.761,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
61,0.5069,0.5009,0.7620596972697694,0.7614,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
62,0.5086,0.5042,0.7576743528080351,0.7577,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
63,0.5077,0.5018,0.7600792191257604,0.7596,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
64,0.5082,0.5021,0.759230442778328,0.759,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
65,0.5066,0.5036,0.7586645918800397,0.7586,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
66,0.5072,0.5027,0.7589475173291838,0.7589,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
67,0.5067,0.501,0.7609279954731928,0.76,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
68,0.5063,0.5024,0.7597962936766162,0.758,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
69,0.5073,0.501,0.7619182345451974,0.7609,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
70,0.5077,0.512,0.7466402602914132,0.7462,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
71,0.507,0.5032,0.7588060546046117,0.7587,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
72,0.5067,0.5013,0.7626255481680577,0.7619,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
73,0.5066,0.5014,0.7605036072994766,0.7592,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
74,0.5077,0.5104,0.7490451266091385,0.7488,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
75,0.507,0.5012,0.7605036072994766,0.76,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
76,0.506,0.501,0.7602206818503324,0.7598,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
77,0.5059,0.5032,0.7582402037063234,0.7582,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
78,0.5063,0.5014,0.7617767718206253,0.7604,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
79,0.506,0.5025,0.7589475173291838,0.7588,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
80,0.5064,0.5015,0.7602206818503324,0.7599,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
81,0.5074,0.5086,0.7511670674777197,0.751,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
82,0.5073,0.5009,0.7606450700240487,0.7603,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
83,0.5071,0.5018,0.7593719055029,0.7592,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
84,0.5054,0.5051,0.7565426510114585,0.7565,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
85,0.5064,0.5099,0.749893902956571,0.7496,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
86,0.5072,0.5008,0.761352383646909,0.7604,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
87,0.5063,0.501,0.7616353090960531,0.7608,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
88,0.5071,0.5014,0.7610694581977648,0.7597,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
89,0.5064,0.501,0.761210920922337,0.7606,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
90,0.506,0.5057,0.7561182628377423,0.7561,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
